iter	Passed	Remaining
1035	7540	65244
1036	7547	65237
1037	7554	65226
1038	7561	65214
1039	7568	65201
1040	7575	65193
1041	7582	65188
1042	7589	65173
1043	7595	65156
1044	7603	65157
1045	7610	65145
1046	7618	65143
1047	7624	65126
1048	7631	65117
1049	7638	65108
1050	7645	65101
1051	7652	65093
1052	7660	65086
1053	7668	65089
1054	7676	65084
1055	7686	65099
1056	7693	65092
1057	7701	65088
1058	7708	65081
1059	7717	65086
1060	7724	65078
1061	7731	65072
1062	7738	65058
1063	7746	65057
1064	7753	65046
1065	7760	65043
1066	7767	65029
1067	7774	65018
1068	7781	65006
1069	7788	64997
1070	7794	64985
1071	7801	64974
1072	7807	64959
1073	7815	64950
1074	7821	64934
1075	7828	64930
1076	7835	64921
1077	7842	64910
1078	7849	64898
1079	7857	64897
1080	7864	64887
1081	7872	64883
1082	7879	64877
1083	7887	64874
1084	7895	64873
1085	7903	64868
1086	7910	64862
1087	7917	64856
1088	7934	64922
1089	7941	64918
1090	7948	64906
1091	7955	64900
1092	7962	64885
1093	7969	64875
1094	7976	64864
1095	7983	64855
1096	7989	64838
1097	7996	64827
1098	8002	64811
1099	8010	64811
1100	8017	64800
1101	8024	64794
1102	8031	64784
1103	8038	64773
1104	8047	64776
1105	8054	64771
1106	8061	64758
1107	8067	64746
1108	8076	64746
1109	8083	64741
1110	8091	64738
1111	8100	64743
1112	8108	64740
1113	8114	64730
1114	8122	64728
1115	8130	64720
1116	8136	64707
1117	8143	64700
1118	8151	64691
1119	8158	64683
1120	8164	64670
1121	8171	64661
1122	8178	64648
1123	8185	64640
1124	8193	64640
1125	8200	64631
1126	8207	64621
1127	8214	64611
1128	8222	64603
1129	8229	64598
1130	8237	64598
1131	8244	64585
1132	8250	64572
1133	8258	64571
1134	8266	64563
1135	8273	64556
1136	8280	64546
1137	8287	64536
1138	8295	64535
1139	8303	64534
1140	8311	64531
1141	8318	64521
1142	8325	64512
1143	8333	64510
1144	8340	64504
1145	8347	64496
1146	8356	64496
1147	8363	64487
1148	8370	64480
1149	8377	64472
1150	8384	64463
1151	8391	64452
1152	8399	64451
1153	8407	64447
1154	8414	64435
1155	8421	64429
1156	8428	64415
1157	8435	64410
1158	8443	64407
1159	8450	64400
1160	8458	64396
1161	8465	64390
1162	8472	64376
1163	8479	64371
1164	8486	64360
1165	8493	64348
1166	8502	64355
1167	8511	64363
1168	8520	64362
1169	8526	64353
1170	8534	64350
1171	8541	64337
1172	8548	64328
1173	8555	64322
1174	8562	64310
1175	8570	64307
1176	8576	64287
1177	8583	64279
1178	8591	64276
1179	8597	64265
1180	8604	64254
1181	8612	64248
1182	8618	64232
1183	8625	64226
1184	8633	64220
1185	8640	64214
1186	8648	64212
1187	8656	64207
1188	8663	64201
