市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都台東区松が谷3-11-3,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"570,000","530,000","519,000","509,000","493,000","480,000","470,000","465,000","480,000","562,000","590,000","528,000","497,000","481,000","476,000","476,000","485,000","495,000","511,000","543,000","586,000","644,000","660,000","665,000",-
東京都台東区東上野3-33-9,基準地価,-,-,-,"5,500,000","6,800,000","6,930,000","6,900,000","6,950,000","6,810,000","5,850,000","4,780,000","4,030,000","3,120,000","2,350,000","1,980,000","1,780,000","1,640,000","1,510,000","1,400,000","1,310,000","1,230,000","1,170,000","1,140,000","1,230,000","1,450,000","1,520,000","1,330,000","1,260,000","1,210,000","1,200,000","1,210,000","1,230,000","1,260,000","1,330,000","1,440,000","1,570,000","1,790,000","1,840,000","1,850,000",-
東京都台東区柳橋1-6-2,基準地価,-,-,-,"5,300,000","6,850,000","6,650,000","6,480,000","6,530,000","6,400,000","5,180,000","4,130,000","3,250,000","2,050,000","1,450,000","1,180,000","1,070,000","920,000","850,000","745,000","679,000","630,000","600,000","587,000","615,000","730,000","750,000","680,000","646,000","626,000","620,000","620,000","634,000","649,000","676,000","723,000","787,000","895,000","925,000","931,000",-
東京都台東区浅草橋1-34-10,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"911,000","939,000","946,000",-
東京都台東区根岸3-6-3,基準地価,-,-,-,-,-,-,-,-,-,-,"1,920,000","1,660,000","1,350,000","1,100,000","920,000","849,000","760,000","710,000","680,000","640,000","605,000","575,000","564,000","592,000","687,000","735,000","665,000","630,000","605,000","596,000","596,000","608,000","620,000","643,000","685,000","736,000","808,000","830,000","835,000",-
東京都台東区清川2-2-6,基準地価,-,-,-,-,-,-,-,"1,220,000","1,200,000","1,020,000","830,000","730,000","625,000","530,000","475,000","455,000","410,000","395,000","383,000","352,000","338,000","328,000","324,000","325,000","384,000","389,000","353,000","330,000","320,000","317,000","317,000","322,000","328,000","336,000","351,000","373,000","410,000","415,000","417,000",-
東京都台東区下谷1-4-10,基準地価,-,-,-,-,-,-,-,-,-,"4,650,000","3,680,000","3,160,000","2,470,000","1,960,000","1,640,000","1,410,000","1,230,000","1,120,000","1,040,000","960,000","900,000","875,000","865,000","899,000","1,030,000","1,070,000","940,000","871,000","836,000","826,000","830,000","847,000","863,000","895,000","958,000","1,040,000","1,180,000","1,220,000","1,220,000",-
東京都台東区西浅草2-13-10,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"810,000","875,000","1,090,000","1,200,000","1,010,000","940,000","900,000","890,000","894,000","914,000","933,000","967,000","1,050,000","1,190,000","1,560,000","1,600,000","1,580,000",-
東京都台東区上野6-14-7,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,940,000","5,650,000","5,400,000","5,100,000","4,870,000","4,780,000","4,780,000","5,500,000","7,200,000","7,760,000","6,880,000","6,460,000","6,000,000","5,850,000","5,860,000","6,100,000","6,410,000","6,990,000","7,750,000","8,540,000","9,380,000","9,400,000","9,200,000",-
東京都台東区東浅草2-17-16,基準地価,-,-,-,-,-,-,-,-,-,-,"1,030,000","876,000","700,000","560,000","480,000","413,000","403,000","395,000","383,000","351,000","335,000","322,000","319,000","331,000","390,000","400,000","361,000","340,000","330,000","326,000","326,000","332,000","338,000","346,000","365,000","391,000","426,000","432,000","434,000",-
東京都台東区下谷3-14-4,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"573,000","584,000","596,000","615,000","652,000","705,000","765,000","780,000","785,000",-
東京都台東区三筋2-24-8,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,180,000",-
東京都台東区東上野1-7-13,基準地価,-,-,-,-,-,-,-,-,-,-,"2,950,000","2,510,000","2,000,000","1,600,000","1,320,000","1,180,000","1,050,000","966,000","902,000","848,000","807,000","764,000","756,000","800,000","968,000","1,040,000","931,000","880,000","850,000","835,000","836,000","857,000","876,000","908,000","980,000","1,070,000","1,220,000","1,260,000","1,270,000",-
東京都台東区浅草1-30-11,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,160,000","1,180,000","1,160,000",-
東京都台東区浅草1-9-2,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,530,000","2,580,000","2,530,000",-
東京都台東区池之端4-26-10,公示地価,"640,000","650,000","700,000","810,000","1,500,000","1,600,000","1,530,000","1,530,000","1,530,000","1,330,000","1,100,000","900,000","790,000","693,000","635,000","604,000","583,000","571,000","560,000","550,000","547,000","543,000","543,000","545,000","628,000","739,000","690,000","630,000","613,000","604,000","602,000","611,000","623,000","638,000","657,000","688,000","736,000","792,000","790,000","802,000"
東京都台東区根岸4-10-10,公示地価,-,-,-,-,-,-,-,"1,100,000","1,100,000","1,000,000","850,000","697,000","610,000","549,000","495,000","485,000","466,000","455,000","442,000","432,000","425,000","421,000","421,000","421,000","471,000","518,000","481,000","445,000","441,000","436,000","435,000","442,000","449,000","460,000","476,000","500,000","539,000","582,000","579,000","588,000"
東京都台東区谷中2-8-14,公示地価,"605,000","610,000","645,000","736,000","1,620,000","1,730,000","1,660,000","1,660,000","1,660,000","1,440,000","1,150,000","950,000","835,000","735,000","675,000","642,000","615,000","604,000","595,000","591,000","589,000","589,000","590,000","593,000","688,000","810,000","752,000","674,000","658,000","646,000","645,000","656,000","667,000","681,000","702,000","732,000","780,000","836,000","833,000","844,000"
東京都台東区上野桜木1-1-5,公示地価,-,-,-,-,"1,580,000","1,690,000","1,610,000","1,610,000","1,610,000","1,400,000","1,120,000","920,000","815,000","721,000","660,000","640,000","617,000","605,000","596,000","594,000","592,000","591,000","592,000","598,000","695,000","820,000","745,000","695,000","670,000","658,000","656,000","663,000","675,000","690,000","711,000","746,000","800,000","860,000","848,000","859,000"
東京都台東区谷中6-2-19,公示地価,-,-,-,-,-,-,-,-,-,-,"1,030,000","850,000","740,000","649,000","605,000","575,000","559,000","550,000","540,000","535,000","533,000","533,000","533,000","536,000","601,000","706,000","655,000","593,000","569,000","559,000","558,000","564,000","576,000","591,000","613,000","642,000","688,000","738,000","736,000","744,000"
東京都台東区池之端1-4-28,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,230,000","1,280,000","1,320,000","1,380,000","1,450,000","1,530,000","1,640,000","1,690,000","1,690,000","1,760,000"
東京都台東区上野4-5-5,公示地価,-,-,-,-,-,-,-,-,-,-,-,"16,000,000","12,100,000","9,000,000","8,000,000","7,500,000","7,000,000","6,650,000","6,310,000","6,010,000","5,740,000","5,530,000","5,480,000","5,700,000","7,500,000","9,700,000","8,800,000","7,800,000","7,180,000","6,890,000","6,810,000","7,040,000","7,330,000","7,880,000","8,600,000","9,310,000","10,200,000","11,000,000","10,100,000","9,850,000"
東京都台東区上野3-19-4,公示地価,"1,570,000","1,730,000","2,130,000","2,790,000","5,710,000","6,300,000","6,240,000","6,300,000","6,300,000","5,810,000","4,800,000","3,900,000","3,300,000","2,420,000","1,900,000","1,590,000","1,410,000","1,270,000","1,140,000","1,050,000","980,000","921,000","886,000","886,000","993,000","1,200,000","1,080,000","978,000","942,000","917,000","915,000","933,000","951,000","981,000","1,040,000","1,120,000","1,240,000","1,430,000","1,380,000","1,390,000"
東京都台東区東上野2-18-6,公示地価,"2,190,000","2,520,000","3,250,000","4,550,000","9,070,000","10,900,000","10,800,000","11,000,000","11,000,000","10,300,000","8,690,000","7,160,000","6,100,000","4,560,000","3,600,000","3,020,000","2,730,000","2,520,000","2,350,000","2,150,000","2,020,000","1,940,000","1,900,000","1,960,000","2,300,000","2,870,000","2,600,000","2,300,000","2,150,000","2,070,000","2,050,000","2,110,000","2,190,000","2,300,000","2,500,000","2,720,000","3,000,000","3,420,000","3,260,000","3,300,000"
東京都台東区浅草1-1-2,公示地価,-,-,-,-,-,"9,000,000","8,750,000","8,750,000","8,750,000","7,800,000","6,760,000","5,400,000","4,550,000","3,270,000","2,500,000","2,080,000","1,860,000","1,680,000","1,550,000","1,410,000","1,320,000","1,260,000","1,230,000","1,250,000","1,510,000","1,930,000","1,830,000","1,700,000","1,680,000","1,660,000","1,810,000","1,910,000","2,010,000","2,170,000","2,450,000","2,770,000","3,730,000","5,000,000","4,400,000","4,450,000"
東京都台東区西浅草2-13-10,公示地価,-,-,-,-,-,"5,750,000","5,470,000","5,470,000","5,470,000","4,900,000","3,990,000","3,270,000","2,750,000","1,970,000","1,500,000","1,280,000","1,170,000","1,080,000","1,020,000","950,000","884,000","833,000","816,000","825,000","960,000","1,200,000","1,060,000","960,000","920,000","890,000","890,000","902,000","920,000","948,000","995,000","1,090,000","1,360,000","1,800,000","1,580,000","1,600,000"
東京都台東区上野2-11-2,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,540,000","1,460,000","1,390,000","1,350,000","1,350,000","1,580,000","1,930,000","1,730,000","1,550,000","1,480,000","1,430,000","1,420,000","1,450,000","1,480,000","1,540,000","1,650,000","1,790,000","1,970,000","2,300,000","2,180,000","2,130,000"
東京都台東区浅草橋1-18-10,公示地価,-,-,-,-,-,-,-,"13,500,000","13,500,000","12,200,000","9,990,000","8,150,000","6,440,000","4,900,000","3,920,000","3,400,000","3,150,000","2,970,000","2,720,000","2,400,000","2,160,000","2,000,000","1,920,000","1,920,000","2,040,000","2,300,000","2,110,000","1,870,000","1,840,000","1,770,000","1,770,000","1,800,000","1,840,000","1,910,000","2,030,000","2,160,000","2,420,000","2,810,000","2,650,000","2,680,000"
東京都台東区谷中3-13-8,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"760,000","720,000","699,000","685,000","664,000","648,000","633,000","620,000","620,000","698,000","823,000","735,000","658,000","632,000","622,000","622,000","632,000","644,000","663,000","696,000","750,000","817,000","902,000","881,000","892,000"
東京都台東区北上野2-32-9,公示地価,-,-,-,-,"4,250,000","5,000,000","4,800,000","4,800,000","4,750,000","4,300,000","3,500,000","2,870,000","2,400,000","1,820,000","1,410,000","1,200,000","1,090,000","982,000","903,000","847,000","792,000","759,000","728,000","730,000","825,000","975,000","875,000","801,000","778,000","754,000","749,000","762,000","776,000","799,000","838,000","899,000","983,000","1,090,000","1,060,000","1,080,000"
東京都台東区東上野3-14-7,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"754,000","712,000","676,000","656,000","656,000","736,000","876,000","796,000","725,000","700,000","678,000","674,000","688,000","702,000","723,000","764,000","820,000","898,000","1,020,000","985,000","998,000"
東京都台東区西浅草3-9-3,公示地価,-,-,-,-,-,-,-,"4,100,000","4,100,000","3,690,000","3,030,000","2,400,000","2,000,000","1,520,000","1,210,000","1,030,000","962,000","910,000","870,000","820,000","773,000","733,000","715,000","716,000","788,000","933,000","849,000","783,000","761,000","738,000","734,000","745,000","760,000","785,000","832,000","891,000","975,000","1,120,000","1,060,000","1,070,000"
東京都台東区上野7-2-8,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,090,000","1,020,000","967,000","933,000","941,000","1,090,000","1,330,000","1,180,000","1,070,000","1,040,000","1,010,000","1,000,000","1,030,000","1,050,000","1,100,000","1,170,000","1,270,000","1,410,000","1,700,000","1,630,000","1,650,000"
東京都台東区蔵前4-5-10,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,490,000","1,520,000"
東京都台東区雷門1-5-1,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"875,000","919,000","993,000","1,140,000","1,350,000","1,280,000","1,300,000"
東京都台東区台東1-14-9,公示地価,-,-,-,-,-,-,-,-,-,"4,950,000","4,080,000","3,400,000","2,800,000","2,100,000","1,680,000","1,420,000","1,210,000","1,080,000","980,000","890,000","810,000","760,000","737,000","741,000","841,000","1,040,000","929,000","827,000","792,000","770,000","762,000","777,000","792,000","817,000","862,000","922,000","1,020,000","1,150,000","1,110,000","1,120,000"
東京都台東区竜泉3-41-7,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"524,000","573,000","563,000","573,000"
東京都台東区三筋2-24-8,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"770,000","855,000","1,020,000","919,000","830,000","805,000","785,000","785,000","795,000","810,000","834,000","875,000","935,000","1,020,000","1,200,000","1,170,000","1,190,000"
東京都台東区柳橋2-21-13,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"555,000","519,000","490,000","474,000","474,000","535,000","609,000","556,000","515,000","504,000","492,000","492,000","502,000","511,000","527,000","553,000","585,000","639,000","721,000","705,000","715,000"
東京都台東区上野6-8-4,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,440,000","2,260,000","2,120,000","1,980,000","1,880,000","1,810,000","1,780,000","1,800,000","2,080,000","2,520,000","2,260,000","2,030,000","1,900,000","1,840,000","1,830,000","1,870,000","1,910,000","1,990,000","2,130,000","2,300,000","2,540,000","2,870,000","2,650,000","2,600,000"
東京都台東区上野4-7-2,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,070,000","3,830,000","3,650,000","3,540,000","3,610,000","4,280,000","5,500,000","4,950,000","4,370,000","4,070,000","3,910,000","3,890,000","4,020,000","4,120,000","4,360,000","4,720,000","5,090,000","5,570,000","6,060,000","5,640,000","5,540,000"
