"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"東京都","文京区","大塚六丁目","","24","9","-30623.8","-9783.9","35.723925","139.725186","1","1","0","0"
"東京都","文京区","目白台三丁目","","11","9","-31441.2","-9794.6","35.716558","139.725077","1","1","0","0"
"東京都","文京区","目白台三丁目","","11","9","-31471.7","-9789.0","35.716283","139.725139","1","0","0","0"
"東京都","文京区","大塚六丁目","","25","9","-30566.0","-9789.4","35.724446","139.725124","1","1","0","0"
"東京都","文京区","目白台三丁目","","9","9","-31498.7","-9793.1","35.716039","139.725094","1","1","0","0"
"東京都","文京区","大塚六丁目","","16","9","-30326.8","-9756.4","35.726603","139.725486","1","1","0","0"
"東京都","文京区","目白台三丁目","","9","9","-31526.6","-9788.5","35.715788","139.725146","1","0","0","0"
"東京都","文京区","目白台三丁目","","9","9","-31526.6","-9754.5","35.715788","139.725522","1","0","0","0"
"東京都","文京区","大塚六丁目","","20","9","-30422.4","-9763.4","35.725741","139.725410","1","1","0","0"
"東京都","文京区","大塚六丁目","","21","9","-30449.1","-9759.5","35.725500","139.725453","1","1","0","0"
"東京都","文京区","関口一丁目","","43","9","-32204.3","-9748.1","35.709680","139.725600","1","1","0","0"
"東京都","文京区","大塚六丁目","","22","9","-30519.4","-9749.1","35.724867","139.725569","1","1","0","0"
"東京都","文京区","目白台三丁目","","10","9","-31447.6","-9743.9","35.716500","139.725638","1","1","0","0"
"東京都","文京区","大塚六丁目","","22","9","-30584.4","-9739.8","35.724281","139.725672","1","0","0","0"
"東京都","文京区","大塚六丁目","","23","9","-30611.9","-9728.8","35.724033","139.725794","1","1","0","0"
"東京都","文京区","音羽二丁目","","12","9","-31205.9","-9608.8","35.718680","139.727128","1","1","0","0"
"東京都","文京区","目白台三丁目","","8","9","-31552.2","-9707.2","35.715558","139.726045","1","1","0","0"
"東京都","文京区","関口一丁目","","43","9","-32219.0","-9697.0","35.709548","139.726165","1","0","0","0"
"東京都","文京区","音羽二丁目","","11","9","-31114.9","-9638.5","35.719500","139.726799","1","1","0","0"
"東京都","文京区","大塚六丁目","","9","9","-30392.6","-9685.6","35.726010","139.726269","1","1","0","0"
"東京都","文京区","関口三丁目","","8","9","-31789.1","-9603.1","35.713424","139.727198","1","1","0","0"
"東京都","文京区","大塚六丁目","","7","9","-30338.0","-9648.7","35.726503","139.726677","1","1","0","0"
"東京都","文京区","関口一丁目","","26","9","-32177.3","-9640.3","35.709924","139.726792","1","1","0","0"
"東京都","文京区","大塚六丁目","","10","9","-30404.4","-9651.9","35.725904","139.726642","1","1","0","0"
"東京都","文京区","大塚五丁目","","39","9","-30817.3","-9582.8","35.722183","139.727411","1","1","0","0"
"東京都","文京区","大塚六丁目","","10","9","-30386.8","-9639.7","35.726063","139.726777","1","0","0","0"
"東京都","文京区","関口二丁目","","9","9","-31844.7","-9641.0","35.712922","139.726780","1","1","0","0"
"東京都","文京区","関口二丁目","","8","9","-31888.8","-9619.6","35.712525","139.727017","1","1","0","0"
"東京都","文京区","大塚六丁目","","10","9","-30406.3","-9624.5","35.725887","139.726945","1","0","0","0"
"東京都","文京区","大塚五丁目","","37","9","-30616.1","-9593.1","35.723997","139.727294","1","1","0","0"
"東京都","文京区","大塚六丁目","","4","9","-30369.6","-9608.7","35.726218","139.727119","1","1","0","0"
"東京都","文京区","大塚六丁目","","10","9","-30420.0","-9601.2","35.725764","139.727203","1","0","0","0"
"東京都","文京区","関口二丁目","","7","9","-31937.9","-9579.1","35.712083","139.727465","1","1","0","0"
"東京都","文京区","関口三丁目","","7","9","-31854.4","-9585.7","35.712835","139.727391","1","1","0","0"
"東京都","文京区","目白台三丁目","","3","9","-31523.2","-9600.8","35.715820","139.727220","1","1","0","0"
"東京都","文京区","大塚五丁目","","36","9","-30645.8","-9576.2","35.723729","139.727482","1","1","0","0"
"東京都","文京区","関口三丁目","","14","9","-31625.3","-9588.4","35.714900","139.727359","1","1","0","0"
"東京都","文京区","大塚六丁目","","10","9","-30439.9","-9573.5","35.725585","139.727509","1","0","0","0"
"東京都","文京区","大塚六丁目","","3","9","-30391.9","-9566.9","35.726018","139.727581","1","1","0","0"
"東京都","文京区","関口一丁目","","25","9","-32177.6","-9543.3","35.709922","139.727864","1","1","0","0"
"東京都","文京区","大塚五丁目","","35","9","-30674.0","-9560.1","35.723475","139.727660","1","1","0","0"
"東京都","文京区","音羽二丁目","","5","9","-31129.9","-9565.1","35.719366","139.727610","1","1","0","0"
"東京都","文京区","音羽二丁目","","12","9","-31345.7","-9542.1","35.717421","139.727867","1","0","0","0"
"東京都","文京区","関口三丁目","","6","9","-31859.8","-9546.5","35.712787","139.727824","1","1","0","0"
"東京都","文京区","大塚五丁目","","34","9","-30699.3","-9547.5","35.723247","139.727799","1","1","0","0"
"東京都","文京区","目白台三丁目","","1","9","-31553.1","-9546.3","35.715551","139.727823","1","1","0","0"
"東京都","文京区","関口三丁目","","6","9","-31818.3","-9563.2","35.713161","139.727639","1","0","0","0"
"東京都","文京区","目白台三丁目","","4","9","-31481.3","-9557.3","35.716198","139.727700","1","1","0","0"
"東京都","文京区","大塚五丁目","","31","9","-30568.4","-9526.3","35.724427","139.728032","1","1","0","0"
"東京都","文京区","音羽二丁目","","4","9","-31183.8","-9543.3","35.718880","139.727852","1","1","0","0"
"東京都","文京区","音羽二丁目","","8","9","-31093.5","-9541.1","35.719694","139.727875","1","1","0","0"
"東京都","文京区","大塚六丁目","","1","9","-30437.4","-9511.6","35.725608","139.728193","1","1","0","0"
"東京都","文京区","大塚五丁目","","32","9","-30629.1","-9509.1","35.723880","139.728223","1","1","0","0"
"東京都","文京区","音羽二丁目","","2","9","-31237.6","-9522.0","35.718395","139.728088","1","1","0","0"
"東京都","文京区","大塚六丁目","","2","9","-30387.3","-9516.4","35.726060","139.728140","1","1","0","0"
"東京都","文京区","音羽二丁目","","6","9","-31122.1","-9503.0","35.719437","139.728296","1","1","0","0"
"東京都","文京区","音羽一丁目","","18","9","-31460.4","-9512.6","35.716387","139.728194","1","1","0","0"
"東京都","文京区","関口三丁目","","5","9","-31886.2","-9512.4","35.712549","139.728201","1","1","0","0"
"東京都","文京区","目白台三丁目","","4","9","-31515.1","-9529.2","35.715894","139.728012","1","0","0","0"
"東京都","文京区","音羽二丁目","","7","9","-31095.7","-9502.6","35.719675","139.728300","1","1","0","0"
